[Topic] k=15,  change alpha=1.0, L=20 	[Accuracy] train: 0.57242642849 	test: 0.529164775306
[Topic] k=15,  change alpha=1.0, L=20 (cond) 	[Accuracy] train: 0.579010649261 	test: 0.534952337721
[Topic] k=15,  change alpha=0.9, L=1 	[Accuracy] train: 0.573800526738 	test: 0.539037675897
[Topic] k=15,  change alpha=0.9, L=1 (cond) 	[Accuracy] train: 0.576262452765 	test: 0.540285973672
[Topic] k=15,  change alpha=0.9, L=3 	[Accuracy] train: 0.569105691057 	test: 0.536881525193
[Topic] k=15,  change alpha=0.9, L=3 (cond) 	[Accuracy] train: 0.574602084049 	test: 0.540739900136
[Topic] k=15,  change alpha=0.9, L=5 	[Accuracy] train: 0.571510362991 	test: 0.535406264185
[Topic] k=15,  change alpha=0.9, L=5 (cond) 	[Accuracy] train: 0.574659338143 	test: 0.537335451657
[Topic] k=15,  change alpha=0.9, L=10 	[Accuracy] train: 0.573113477614 	test: 0.536768043577
[Topic] k=15,  change alpha=0.9, L=10 (cond) 	[Accuracy] train: 0.579468682011 	test: 0.536087153881
[Topic] k=15,  change alpha=0.9, L=20 	[Accuracy] train: 0.571911141647 	test: 0.532909668634
[Topic] k=15,  change alpha=0.9, L=20 (cond) 	[Accuracy] train: 0.578781632887 	test: 0.538583749433
[Topic] k=15,  change alpha=0.8, L=1 	[Accuracy] train: 0.569391961525 	test: 0.539151157512
[Topic] k=15,  change alpha=0.8, L=1 (cond) 	[Accuracy] train: 0.577865567388 	test: 0.537562414889
[Topic] k=15,  change alpha=0.8, L=3 	[Accuracy] train: 0.569849994275 	test: 0.538016341353
[Topic] k=15,  change alpha=0.8, L=3 (cond) 	[Accuracy] train: 0.573915034925 	test: 0.54062641852
[Topic] k=15,  change alpha=0.8, L=5 	[Accuracy] train: 0.572082903928 	test: 0.536200635497
[Topic] k=15,  change alpha=0.8, L=5 (cond) 	[Accuracy] train: 0.574258559487 	test: 0.538129822969
[Topic] k=15,  change alpha=0.8, L=10 	[Accuracy] train: 0.573743272644 	test: 0.53359055833
[Topic] k=15,  change alpha=0.8, L=10 (cond) 	[Accuracy] train: 0.577350280545 	test: 0.539037675897
[Topic] k=15,  change alpha=0.8, L=20 	[Accuracy] train: 0.573972289019 	test: 0.533136631866
[Topic] k=15,  change alpha=0.8, L=20 (cond) 	[Accuracy] train: 0.578094583763 	test: 0.535179300953
[Topic] k=15,  change alpha=0.7, L=1 	[Accuracy] train: 0.57477384633 	test: 0.538697231049
[Topic] k=15,  change alpha=0.7, L=1 (cond) 	[Accuracy] train: 0.577808313294 	test: 0.537562414889
[Topic] k=15,  change alpha=0.7, L=3 	[Accuracy] train: 0.572025649834 	test: 0.540172492056
[Topic] k=15,  change alpha=0.7, L=3 (cond) 	[Accuracy] train: 0.57368601855 	test: 0.539945528824
[Topic] k=15,  change alpha=0.7, L=5 	[Accuracy] train: 0.570021756556 	test: 0.539151157512
[Topic] k=15,  change alpha=0.7, L=5 (cond) 	[Accuracy] train: 0.575804420016 	test: 0.539151157512
[Topic] k=15,  change alpha=0.7, L=10 	[Accuracy] train: 0.57242642849 	test: 0.537221970041
[Topic] k=15,  change alpha=0.7, L=10 (cond) 	[Accuracy] train: 0.578151837856 	test: 0.536881525193
[Topic] k=15,  change alpha=0.7, L=20 	[Accuracy] train: 0.572197412115 	test: 0.536654561961
[Topic] k=15,  change alpha=0.7, L=20 (cond) 	[Accuracy] train: 0.577636551013 	test: 0.537562414889
[Topic] k=15,  change alpha=0.6, L=1 	[Accuracy] train: 0.570479789305 	test: 0.540966863368
[Topic] k=15,  change alpha=0.6, L=1 (cond) 	[Accuracy] train: 0.577865567388 	test: 0.537335451657
[Topic] k=15,  change alpha=0.6, L=3 	[Accuracy] train: 0.57305622352 	test: 0.539832047208
[Topic] k=15,  change alpha=0.6, L=3 (cond) 	[Accuracy] train: 0.572884461239 	test: 0.540172492056
[Topic] k=15,  change alpha=0.6, L=5 	[Accuracy] train: 0.575346387267 	test: 0.537675896505
[Topic] k=15,  change alpha=0.6, L=5 (cond) 	[Accuracy] train: 0.573285239895 	test: 0.539264639128
[Topic] k=15,  change alpha=0.6, L=10 	[Accuracy] train: 0.574258559487 	test: 0.536881525193
[Topic] k=15,  change alpha=0.6, L=10 (cond) 	[Accuracy] train: 0.574831100424 	test: 0.54062641852
[Topic] k=15,  change alpha=0.6, L=20 	[Accuracy] train: 0.572082903928 	test: 0.536881525193
[Topic] k=15,  change alpha=0.6, L=20 (cond) 	[Accuracy] train: 0.574888354517 	test: 0.539945528824
[Topic] k=20,  change alpha=1.0, L=1 	[Accuracy] train: 0.570594297492 	test: 0.542101679528
[Topic] k=20,  change alpha=1.0, L=1 (cond) 	[Accuracy] train: 0.575289133173 	test: 0.542669087608
[Topic] k=20,  change alpha=1.0, L=3 	[Accuracy] train: 0.570823313867 	test: 0.533704039946
[Topic] k=20,  change alpha=1.0, L=3 (cond) 	[Accuracy] train: 0.574315813581 	test: 0.535973672265
[Topic] k=20,  change alpha=1.0, L=5 	[Accuracy] train: 0.569449215619 	test: 0.539832047208
[Topic] k=20,  change alpha=1.0, L=5 (cond) 	[Accuracy] train: 0.576548723234 	test: 0.541874716296
[Topic] k=20,  change alpha=1.0, L=10 	[Accuracy] train: 0.571796633459 	test: 0.533477076714
[Topic] k=20,  change alpha=1.0, L=10 (cond) 	[Accuracy] train: 0.580098477041 	test: 0.541534271448
[Topic] k=20,  change alpha=1.0, L=20 	[Accuracy] train: 0.575747165922 	test: 0.527576032683
[Topic] k=20,  change alpha=1.0, L=20 (cond) 	[Accuracy] train: 0.579754952479 	test: 0.533136631866
[Topic] k=20,  change alpha=0.9, L=1 	[Accuracy] train: 0.571624871178 	test: 0.542782569224
[Topic] k=20,  change alpha=0.9, L=1 (cond) 	[Accuracy] train: 0.575518149548 	test: 0.542782569224
[Topic] k=20,  change alpha=0.9, L=3 	[Accuracy] train: 0.569162945151 	test: 0.535065819337
[Topic] k=20,  change alpha=0.9, L=3 (cond) 	[Accuracy] train: 0.57540364136 	test: 0.539264639128
[Topic] k=20,  change alpha=0.9, L=5 	[Accuracy] train: 0.569449215619 	test: 0.538810712665
[Topic] k=20,  change alpha=0.9, L=5 (cond) 	[Accuracy] train: 0.577407534639 	test: 0.54176123468
[Topic] k=20,  change alpha=0.9, L=10 	[Accuracy] train: 0.570823313867 	test: 0.537902859737
[Topic] k=20,  change alpha=0.9, L=10 (cond) 	[Accuracy] train: 0.580442001603 	test: 0.540966863368
[Topic] k=20,  change alpha=0.9, L=20 	[Accuracy] train: 0.574086797206 	test: 0.534498411257
[Topic] k=20,  change alpha=0.9, L=20 (cond) 	[Accuracy] train: 0.580041222947 	test: 0.538583749433
[Topic] k=20,  change alpha=0.8, L=1 	[Accuracy] train: 0.572254666209 	test: 0.541307308216
[Topic] k=20,  change alpha=0.8, L=1 (cond) 	[Accuracy] train: 0.575689911829 	test: 0.535860190649
[Topic] k=20,  change alpha=0.8, L=3 	[Accuracy] train: 0.571911141647 	test: 0.537448933273
[Topic] k=20,  change alpha=0.8, L=3 (cond) 	[Accuracy] train: 0.576605977327 	test: 0.538243304585
[Topic] k=20,  change alpha=0.8, L=5 	[Accuracy] train: 0.5741440513 	test: 0.54005901044
[Topic] k=20,  change alpha=0.8, L=5 (cond) 	[Accuracy] train: 0.573628764457 	test: 0.540739900136
[Topic] k=20,  change alpha=0.8, L=10 	[Accuracy] train: 0.572941715333 	test: 0.540512936904
[Topic] k=20,  change alpha=0.8, L=10 (cond) 	[Accuracy] train: 0.576548723234 	test: 0.5411938266
[Topic] k=20,  change alpha=0.8, L=20 	[Accuracy] train: 0.574315813581 	test: 0.540512936904
[Topic] k=20,  change alpha=0.8, L=20 (cond) 	[Accuracy] train: 0.577808313294 	test: 0.543009532456
[Topic] k=20,  change alpha=0.7, L=1 	[Accuracy] train: 0.57368601855 	test: 0.541988197912
[Topic] k=20,  change alpha=0.7, L=1 (cond) 	[Accuracy] train: 0.573972289019 	test: 0.544938719927
[Topic] k=20,  change alpha=0.7, L=3 	[Accuracy] train: 0.57242642849 	test: 0.540853381752
[Topic] k=20,  change alpha=0.7, L=3 (cond) 	[Accuracy] train: 0.577922821482 	test: 0.541647753064
[Topic] k=20,  change alpha=0.7, L=5 	[Accuracy] train: 0.57242642849 	test: 0.542442124376
[Topic] k=20,  change alpha=0.7, L=5 (cond) 	[Accuracy] train: 0.575231879079 	test: 0.54176123468
[Topic] k=20,  change alpha=0.7, L=10 	[Accuracy] train: 0.574659338143 	test: 0.544484793463
[Topic] k=20,  change alpha=0.7, L=10 (cond) 	[Accuracy] train: 0.574373067674 	test: 0.54232864276
[Topic] k=20,  change alpha=0.7, L=20 	[Accuracy] train: 0.574487575862 	test: 0.542782569224
[Topic] k=20,  change alpha=0.7, L=20 (cond) 	[Accuracy] train: 0.577064010077 	test: 0.540285973672
[Topic] k=20,  change alpha=0.6, L=1 	[Accuracy] train: 0.572998969426 	test: 0.541307308216
[Topic] k=20,  change alpha=0.6, L=1 (cond) 	[Accuracy] train: 0.574201305393 	test: 0.54289605084
[Topic] k=20,  change alpha=0.6, L=3 	[Accuracy] train: 0.576777739608 	test: 0.54062641852
[Topic] k=20,  change alpha=0.6, L=3 (cond) 	[Accuracy] train: 0.574602084049 	test: 0.543123014072
[Topic] k=20,  change alpha=0.6, L=5 	[Accuracy] train: 0.576033436391 	test: 0.540399455288
[Topic] k=20,  change alpha=0.6, L=5 (cond) 	[Accuracy] train: 0.577235772358 	test: 0.537335451657
[Topic] k=20,  change alpha=0.6, L=10 	[Accuracy] train: 0.574945608611 	test: 0.540853381752
[Topic] k=20,  change alpha=0.6, L=10 (cond) 	[Accuracy] train: 0.577808313294 	test: 0.535860190649
[Topic] k=20,  change alpha=0.6, L=20 	[Accuracy] train: 0.575632657735 	test: 0.540399455288
[Topic] k=20,  change alpha=0.6, L=20 (cond) 	[Accuracy] train: 0.577751059201 	test: 0.536087153881
[Topic] k=25,  change alpha=1.0, L=1 	[Accuracy] train: 0.579869460666 	test: 0.53302315025
[Topic] k=25,  change alpha=1.0, L=1 (cond) 	[Accuracy] train: 0.585480361846 	test: 0.543803903768
[Topic] k=25,  change alpha=1.0, L=3 	[Accuracy] train: 0.571853887553 	test: 0.539378120744
[Topic] k=25,  change alpha=1.0, L=3 (cond) 	[Accuracy] train: 0.581129050727 	test: 0.538924194281
[Topic] k=25,  change alpha=1.0, L=5 	[Accuracy] train: 0.576892247796 	test: 0.540853381752
[Topic] k=25,  change alpha=1.0, L=5 (cond) 	[Accuracy] train: 0.586568189626 	test: 0.543576940536
[Topic] k=25,  change alpha=1.0, L=10 	[Accuracy] train: 0.571453108897 	test: 0.541420789832
[Topic] k=25,  change alpha=1.0, L=10 (cond) 	[Accuracy] train: 0.586682697813 	test: 0.530299591466
[Topic] k=25,  change alpha=1.0, L=20 	[Accuracy] train: 0.57477384633 	test: 0.535179300953
[Topic] k=25,  change alpha=1.0, L=20 (cond) 	[Accuracy] train: 0.59303790221 	test: 0.534384929641
[Topic] k=25,  change alpha=0.9, L=1 	[Accuracy] train: 0.580270239322 	test: 0.533704039946
[Topic] k=25,  change alpha=0.9, L=1 (cond) 	[Accuracy] train: 0.584564296347 	test: 0.543803903768
[Topic] k=25,  change alpha=0.9, L=3 	[Accuracy] train: 0.573915034925 	test: 0.537789378121
[Topic] k=25,  change alpha=0.9, L=3 (cond) 	[Accuracy] train: 0.581071796633 	test: 0.537335451657
[Topic] k=25,  change alpha=0.9, L=5 	[Accuracy] train: 0.577808313294 	test: 0.540285973672
[Topic] k=25,  change alpha=0.9, L=5 (cond) 	[Accuracy] train: 0.586510935532 	test: 0.545960054471
[Topic] k=25,  change alpha=0.9, L=10 	[Accuracy] train: 0.573514256269 	test: 0.547775760327
[Topic] k=25,  change alpha=0.9, L=10 (cond) 	[Accuracy] train: 0.586453681438 	test: 0.537108488425
[Topic] k=25,  change alpha=0.9, L=20 	[Accuracy] train: 0.575060116798 	test: 0.546413980935
[Topic] k=25,  change alpha=0.9, L=20 (cond) 	[Accuracy] train: 0.590633230276 	test: 0.537675896505
[Topic] k=25,  change alpha=0.8, L=1 	[Accuracy] train: 0.582789419443 	test: 0.53359055833
[Topic] k=25,  change alpha=0.8, L=1 (cond) 	[Accuracy] train: 0.584335279973 	test: 0.542669087608
[Topic] k=25,  change alpha=0.8, L=3 	[Accuracy] train: 0.576376960953 	test: 0.537335451657
[Topic] k=25,  change alpha=0.8, L=3 (cond) 	[Accuracy] train: 0.586682697813 	test: 0.545279164775
[Topic] k=25,  change alpha=0.8, L=5 	[Accuracy] train: 0.580327493416 	test: 0.544030867
[Topic] k=25,  change alpha=0.8, L=5 (cond) 	[Accuracy] train: 0.586739951907 	test: 0.545392646391
[Topic] k=25,  change alpha=0.8, L=10 	[Accuracy] train: 0.576949501889 	test: 0.544144348616
[Topic] k=25,  change alpha=0.8, L=10 (cond) 	[Accuracy] train: 0.585709378221 	test: 0.542555605992
[Topic] k=25,  change alpha=0.8, L=20 	[Accuracy] train: 0.580212985228 	test: 0.542442124376
[Topic] k=25,  change alpha=0.8, L=20 (cond) 	[Accuracy] train: 0.588285812436 	test: 0.54346345892
[Topic] k=25,  change alpha=0.7, L=1 	[Accuracy] train: 0.583476468568 	test: 0.536087153881
[Topic] k=25,  change alpha=0.7, L=1 (cond) 	[Accuracy] train: 0.583762739036 	test: 0.54232864276
[Topic] k=25,  change alpha=0.7, L=3 	[Accuracy] train: 0.576376960953 	test: 0.541988197912
[Topic] k=25,  change alpha=0.7, L=3 (cond) 	[Accuracy] train: 0.584106263598 	test: 0.542555605992
[Topic] k=25,  change alpha=0.7, L=5 	[Accuracy] train: 0.57929691973 	test: 0.541874716296
[Topic] k=25,  change alpha=0.7, L=5 (cond) 	[Accuracy] train: 0.583877247223 	test: 0.543349977304
[Topic] k=25,  change alpha=0.7, L=10 	[Accuracy] train: 0.578323600137 	test: 0.538924194281
[Topic] k=25,  change alpha=0.7, L=10 (cond) 	[Accuracy] train: 0.583705484942 	test: 0.54062641852
[Topic] k=25,  change alpha=0.7, L=20 	[Accuracy] train: 0.578380854231 	test: 0.540172492056
[Topic] k=25,  change alpha=0.7, L=20 (cond) 	[Accuracy] train: 0.585251345471 	test: 0.5411938266
[Topic] k=25,  change alpha=0.6, L=1 	[Accuracy] train: 0.582961181724 	test: 0.536087153881
[Topic] k=25,  change alpha=0.6, L=1 (cond) 	[Accuracy] train: 0.583075689912 	test: 0.541307308216
[Topic] k=25,  change alpha=0.6, L=3 	[Accuracy] train: 0.578552616512 	test: 0.540739900136
[Topic] k=25,  change alpha=0.6, L=3 (cond) 	[Accuracy] train: 0.585194091378 	test: 0.543349977304
[Topic] k=25,  change alpha=0.6, L=5 	[Accuracy] train: 0.580270239322 	test: 0.540966863368
[Topic] k=25,  change alpha=0.6, L=5 (cond) 	[Accuracy] train: 0.584392534066 	test: 0.544030867
[Topic] k=25,  change alpha=0.6, L=10 	[Accuracy] train: 0.579125157449 	test: 0.5411938266
[Topic] k=25,  change alpha=0.6, L=10 (cond) 	[Accuracy] train: 0.584793312722 	test: 0.545506128007
[Topic] k=25,  change alpha=0.6, L=20 	[Accuracy] train: 0.578609870606 	test: 0.54176123468
[Topic] k=25,  change alpha=0.6, L=20 (cond) 	[Accuracy] train: 0.583991755411 	test: 0.542555605992
[Topic] k=30,  change alpha=1.0, L=1 	[Accuracy] train: 0.581587083476 	test: 0.538924194281
[Topic] k=30,  change alpha=1.0, L=1 (cond) 	[Accuracy] train: 0.589144623841 	test: 0.543576940536
[Topic] k=30,  change alpha=1.0, L=3 	[Accuracy] train: 0.579411427917 	test: 0.54005901044
[Topic] k=30,  change alpha=1.0, L=3 (cond) 	[Accuracy] train: 0.590804992557 	test: 0.541307308216
[Topic] k=30,  change alpha=1.0, L=5 	[Accuracy] train: 0.578323600137 	test: 0.542669087608
[Topic] k=30,  change alpha=1.0, L=5 (cond) 	[Accuracy] train: 0.590747738463 	test: 0.542669087608
[Topic] k=30,  change alpha=1.0, L=10 	[Accuracy] train: 0.576376960953 	test: 0.534157966409
[Topic] k=30,  change alpha=1.0, L=10 (cond) 	[Accuracy] train: 0.590919500744 	test: 0.536314117113
[Topic] k=30,  change alpha=1.0, L=20 	[Accuracy] train: 0.581358067102 	test: 0.536087153881
[Topic] k=30,  change alpha=1.0, L=20 (cond) 	[Accuracy] train: 0.595499828238 	test: 0.532796187018
[Topic] k=30,  change alpha=0.9, L=1 	[Accuracy] train: 0.581816099851 	test: 0.540172492056
[Topic] k=30,  change alpha=0.9, L=1 (cond) 	[Accuracy] train: 0.585308599565 	test: 0.544144348616
